95,64,27,81,9,76,71,17,20,95
57,22,29,73,90,23,0,7,100,48
74,75,31,21,89,8,17,23,64,4
99,20,3,50,58,45,51,84,24,34
29,19,0,67,34,81,75,84,65,27
22,6,97,11,34,25,48,85,81,28
93,21,11,63,16,60,88,4,94,56
54,33,64,18,89,85,53,26,70,62
20,59,30,65,91,81,78,36,1,52
40,52,20,5,55,82,7,36,33,26
24,5,54,100,42,51,23,88,95,15
53,98,13,96,42,58,86,12,5,42
58,5,44,10,18,60,5,16,85,84
7,23,5,60,82,61,99,86,3,10
25,48,34,64,72,2,87,91,1,16
70,90,88,22,78,76,24,56,73,8
83,20,94,0,69,73,49,2,24,73
10,69,32,90,15,10,31,35,98,14
12,68,1,44,85,31,32,46,26,90
50,5,53,71,24,58,40,22,97,35
22,12,92,59,21,56,62,75,97,27
97,62,65,11,81,21,85,59,63,56
75,24,39,80,34,7,55,41,62,91
17,58,36,62,72,1,85,100,54,91
22,69,66,79,63,53,44,13,83,61
49,61,11,49,76,28,76,83,40,99
57,29,58,20,24,70,43,17,91,78
1,27,53,96,33,57,40,11,59,63
39,11,31,62,86,84,91,1,11,78
50,47,14,1,8,44,25,83,26,57
65,19,53,78,67,30,53,27,4,73
66,80,10,84,93,34,36,87,45,75
96,71,48,2,22,90,18,61,4,70
77,58,77,7,87,62,5,7,18,77
76,23,12,73,82,52,71,81,21,23
32,2,23,81,40,11,43,34,36,75
16,9,48,32,51,56,26,85,45,30
37,3,71,58,93,32,45,14,71,17
69,92,5,57,85,87,86,20,40,12
43,43,10,17,10,41,2,30,42,90
71,73,32,10,20,98,46,56,8,72
70,36,75,70,80,59,71,71,80,32
4,10,81,5,67,16,77,30,52,40
74,64,68,69,35,8,52,12,34,60
31,24,50,44,61,25,39,62,40,90
80,59,88,16,13,66,1,23,54,54
60,59,83,62,48,82,47,22,81,35
34,89,31,47,47,27,6,68,93,60
18,37,78,18,58,52,46,87,54,45
95,24,56,72,11,99,0,13,31,7
94,53,81,89,70,79,24,64,21,45
30,89,76,62,34,9,60,35,10,50
83,73,100,80,40,89,82,74,67,44
93,31,92,100,9,56,80,71,34,18
60,65,55,41,92,44,40,67,66,0
75,7,32,88,57,22,94,91,79,89
40,97,37,100,83,82,80,53,44,49
13,28,86,56,43,16,97,91,50,61
22,6,66,85,23,50,100,51,54,100
7,49,59,96,89,52,47,91,49,6
25,71,56,98,14,1,56,76,8,55
79,85,11,12,25,20,37,86,14,12
31,51,7,4,14,80,52,76,95,90
5,82,37,24,33,9,11,73,26,30
28,5,38,39,74,81,11,17,80,86
45,86,67,82,62,53,96,10,15,61
84,18,2,15,9,59,53,75,59,27
12,85,16,62,83,42,22,79,1,93
3,71,80,23,93,94,50,61,53,50
36,50,40,39,39,91,90,95,18,86
48,93,18,49,28,35,52,52,18,61
81,96,90,87,46,37,99,26,99,73
4,41,62,6,49,18,17,26,22,70
74,66,15,12,31,80,7,74,31,6
8,47,8,7,69,69,13,56,41,95
0,10,11,29,33,14,52,21,75,48
39,76,81,23,74,29,14,70,80,54
35,45,58,14,9,0,45,43,36,81
79,46,37,7,16,44,69,32,7,65
89,36,73,66,54,43,61,9,20,9
32,17,76,85,60,29,4,19,40,65
81,16,71,34,29,76,49,83,67,83
100,8,50,54,88,29,36,83,5,26
92,57,0,82,48,59,27,21,81,11
62,52,37,74,61,13,98,7,29,77
34,33,37,86,97,39,90,72,1,88
85,52,65,87,97,17,83,64,26,27
16,41,49,8,34,64,32,47,14,82
33,53,50,53,74,77,98,24,49,43
96,53,8,88,5,82,2,1,99,91
63,82,65,31,19,66,6,5,31,55
29,32,26,18,30,85,91,36,94,0
46,82,3,91,43,53,9,84,82,61
98,18,35,3,16,21,26,36,55,25
32,94,15,99,27,75,92,27,8,74
29,22,8,78,23,28,12,49,68,8
57,86,96,73,100,29,64,53,77,34
86,43,34,5,76,96,33,48,3,95
0,33,21,57,15,9,87,34,13,17
66,35,3,15,83,48,68,61,5,13
